	bigram	freq	llr	pmi	t-score	xi square	z-score
0	доказать_v что_conj	488	5536.434194691479	5.4368120224231244	20.98136529632142	5.085036264560074e+36	93.62742684088863
4	геометрия_s линейный_a	275	3480.7176396921277	6.234878510129604	16.10417887857634	2.3316953025091238e+36	94.76084052962038
22	делиться_v на_pr	137	1744.1083243116736	6.076332201962999	11.32738250369088	1.8416284390503723e+36	63.08938402813572
25	комплексный_a число_s	132	1447.960068412125	5.323296553519659	10.8649309315707	1.4133051177233024e+36	46.61337320174861
38	показать_v что_conj	109	1290.1537249162793	5.719467426899389	10.009297042987843	1.3818765976447942e+36	49.26253973675265
51	заметить_v что_conj	88	1093.1302557960153	5.914945949368059	9.042634328213332	1.2780785602787918e+36	47.62452297215679
18	следовать_v что_conj	154	1547.8417720496655	4.873486342269691	11.488800937799406	1.0830046327290937e+36	42.174999279594864
29	дифференциальный_a уравнение_s	115	1284.0588903054595	5.486902344903498	10.20365177073929	1.0417772738911445e+36	46.3302150576534
11	такой_a что_conj	177	1696.0428751558065	4.601191785926396	12.111809547930017	1.0292279543292648e+36	40.45805475178118
46	натуральный_a число_s	92	1006.2379741892219	5.317037563047977	9.068290505889367	9.806827272962454e+35	38.821017554950984
3	аналитический_a геометрия_s	313	5554.111427515745	8.586098802798896	17.591666909813515	8.245142242529506e+35	233.82515392477907
10	мочь_v быть_v	182	2192.0162325650454	6.136779708152898	13.07368985486021	7.832474017786668e+35	74.35722189702214
163	зависимость_s в_pr	47	436.6194764226675	4.2612000995357775	6.077967857689704	7.53659313542745e+35	18.045981830220356
95	означать_v что_conj	64	733.0839512124658	5.5783710785162945	7.635801813019117	7.354422854828528e+35	35.78744977382528
106	характеристический_a уравнение_s	59	721.3144451528788	5.928897075493919	7.406890492147673	7.26842541145149e+35	39.19868042261241
49	целый_a число_s	89	893.866290345788	4.868968540606598	8.731727104338889	6.94179772572706e+35	32.00372547284734
146	предположить_v что_conj	49	593.6696080863476	5.826953023833606	6.731765144826779	6.693639077133484e+35	34.38906521985826
108	говорить_v что_conj	58	653.7334723249078	5.501940415271443	7.250203810607583	6.319581495427306e+35	33.09194987614513
143	известно_adv что_conj	49	580.0660839527845	5.730737708574303	6.713266189297592	6.260320321153351e+35	33.169844425465214
557	поставить_partcp в_pr	21	241.0452949553728	5.0989286706369	4.291715704295539	6.044750827426043e+35	17.035064256985486
657	входить_partcp в_pr	19	1000.0	5.166042866495437	4.094811499765109	5.730927158941389e+35	16.635981858142234
45	квадратный_a уравнение_s	93	935.4990758001804	4.921378765527754	8.951399652396706	5.6806079107035824e+35	33.410259946470084
110	очевидно_adv что_conj	58	621.1702191904187	5.241704642790323	7.177940112708076	5.272082509135025e+35	29.936607717859204
77	простой_a число_s	70	693.6450718641281	4.800502873884932	7.713532159015098	5.204982186563544e+35	27.608865887183104
83	окрестность_s точка_s	69	833.1504251360893	6.072481560756208	8.03813253580734	5.004203158930655e+35	44.70975650367854
643	действовать_partcp в_pr	20	209.24652668833733	4.787531243241708	4.119903554516976	4.632999925037725e+35	14.680129852358817
281	интегрировать_partcp на_pr	34	423.06028766930103	6.009179431886444	5.634026822232492	4.3611351012176175e+35	30.657598504307217
71	указание_s решение_s	73	1079.9269473329186	7.406554838824304	8.43446416488446	4.326551101112124e+35	74.49080641975443
17	один_a из_pr	161	1546.7002002075315	4.694630456454651	11.622734715028278	4.206595774056762e+35	40.10220116620298
253	отметить_v что_conj	36	413.44901855289936	5.596292986513557	5.730223565199346	4.1885792902782805e+35	27.02372333638584
32	собственный_a вектор_s	113	1317.41915936023	5.986984733559444	10.265574873224493	3.991033556696855e+35	55.432167682818296
308	дифференцировать_partcp в_pr	32	272.3571050018072	3.844114771608075	4.8000414408511345	3.83000446044278e+35	12.333589972862095
182	вещественный_a число_s	44	452.69927706569433	5.009636074615897	6.18535023657032	3.785496967199854e+35	23.803304474951325
132	канонический_a уравнение_s	51	537.762976154685	5.19600114563676	6.717651118632811	3.772367757179074e+35	27.576626632599353
227	состоять_partcp из_pr	38	510.8090919405222	6.585005965280153	6.024741056397198	3.7010349926472e+35	40.02470477346824
76	непрерывный_a на_pr	71	683.0032180100679	4.677385829497588	7.709840534638671	3.6016902162052354e+35	26.44293798151732
9	система_s линейный_a	186	1620.1428896263242	4.100597823889489	11.908929480358958	3.558919228965388e+35	33.44427525183115
170	состоять_v из_pr	45	555.2006166800857	6.209203629284409	6.510982309071255	3.375738942886872e+35	37.97277877068935
56	евклидов_a пространство_s	86	1258.7234176918864	7.591946088795972	9.169062114766568	3.323102266358053e+35	86.35236906447349
191	действительный_a число_s	42	420.3825336918235	4.861903418549075	5.995954000957984	3.2596086673100887e+35	21.922761940747556
340	лежать_partcp на_pr	30	346.90171932429075	5.687744650404774	5.24608100587345	3.0771795620881996e+35	25.537210658231146
114	совпадать_v с_pr	57	711.4253585636616	6.403223439449618	7.355799505528722	3.0066666934910966e+35	45.8837218499813
12	линейный_a уравнение_s	173	1255.8290163204074	3.121844211208972	9.866253616299897	2.986383531401386e+35	19.737140952537132
122	б_part в_pr	54	364.0437069237232	2.746004686158227	4.965755235826416	2.9729686058898858e+35	8.720628613476359
40	ортонормированный_a базис_s	102	1379.291513390839	7.119787275534565	9.941549214801743	2.8772890504942613e+35	79.49437992499018
371	считать_v что_conj	28	306.0256650522351	5.354017140846561	5.010076716022306	2.7521231853700688e+35	21.724602924277207
786	потому что_conj	17	1000.0	6.07022417484597	3.9896276172993814	2.7501018558485915e+35	22.173779933400468
130	приходить_v к_pr	51	750.8118964508176	7.476249705796743	7.054188663828895	2.684280025983143e+35	63.82375794481257
2	в_pr точка_s	316	2270.5658595636487	2.9920653482286523	12.916269459762269	2.647207258028213e+35	24.70218665807181
194	непрерывный_a в_pr	42	291.52600146085024	2.8788801897687515	4.5642788932619665	2.5418965702263215e+35	8.393332190811151
382	стационарный_a точка_s	28	358.5831285789609	6.370349711968522	5.152373679804301	2.497546982166701e+35	31.775187290932447
1	линейный_a алгебра_s	335	4352.177542641759	6.33856303661952	17.81104542011077	2.3823073070003498e+35	108.6390116210475
80	базис_s в_pr	70	397.648775652051	2.0238628555360294	3.891421302635296	2.2921898264521445e+35	5.320807638298554
309	сложный_a функция_s	32	401.3020437657833	6.341231634886608	5.505086717535688	2.271587772936107e+35	33.609513278820515
6	в виде_pr	236	1000.0	8.308036935189957	15.256854628645286	2.2149290999770922e+35	184.1606174680758
838	простой_s число_s	16	188.21960217505693	5.671219856939966	3.8292512565103176	2.1821392222061198e+35	18.53382683316001
44	скалярный_a произведение_s	96	1408.6975838020444	7.80188004637714	9.702450803266323	2.144206011573288e+35	98.27182028163041
13	то есть_adv	169	1000.0	9.693587669968421	12.965850251302063	2.1259854764811545e+35	252.97576710906705
223	декартовый_a система_s	39	493.60627360641956	6.497645398580646	6.094666165890677	2.1242722407865514e+35	39.28172927876516
984	ясно_adv что_conj	14	176.33892220258713	5.970688501295055	3.611875973767589	2.1133601901024082e+35	19.393606912519534
16	второй_a порядок_s	164	2141.222763746977	6.86465325778453	12.567214189402822	2.064072262270505e+35	91.98560735351016
897	введение_s в_pr	15	132.58097096532583	4.0285393427455025	3.3567580730700324	2.043378118331933e+35	9.194396438631241
156	решить_v уравнение_s	47	430.839384034276	4.410739994429773	6.154540499718118	2.009513213241839e+35	19.245347069676612
996	делиться_partcp на_pr	14	179.00472519546747	6.107583135947438	3.6236244787911476	1.9228255263355894e+35	20.402042138453798
204	функционал_s в_pr	41	260.2118333950639	2.4846758818212185	3.9146406971402974	1.872458671501796e+35	6.279433776643501
47	так как_conj	92	1332.3820768073201	7.738420914588544	9.493961393210112	1.8153254430955553e+35	94.06833594473562
21	квадратичный_a функционал_s	138	2203.0606029331684	8.469900910527812	11.67527085449338	1.799352625257028e+35	149.06019144924295
5	линейный_a пространство_s	237	2510.888799056411	5.246079139068713	14.512432139008812	1.793261053119083e+35	60.617969543123316
295	деление_s на_pr	32	311.9283858463168	4.764175313649624	5.204039953978227	1.7246578918949376e+35	18.393655667633645
768	исходить_v из_pr	17	230.13591670244932	6.612168296262678	4.031426960484804	1.6871886550736193e+35	27.035654364371858
53	функция_s в_pr	87	403.5115056633949	1.2814337182629252	0.9806857889049013	1.6475679596158232e+35	1.0366984955211669
126	однородный_a система_s	51	569.9577118754387	5.742649516817465	6.851306775711026	1.64361954045815e+35	33.99193491712383
87	криволинейный_a интеграл_s	67	1033.755486637354	8.179020720493648	8.123918368714886	1.6430325904785723e+35	93.7731337788253
167	зависеть_v от_pr	46	681.7835595607758	7.751477067413991	6.713866873369027	1.6280554523763891e+35	66.82421604623136
8	система_s координата_s	211	2415.088021874428	5.802638676780989	13.959759131329026	1.6103626439774496e+35	70.71469387244873
63	каждый_a из_pr	81	718.7753989249468	4.262990989838677	7.980331121470257	1.5649460920519522e+35	23.708964375983594
97	корень_s уравнение_s	63	500.10013135522604	3.6186922174590395	6.531723717839437	1.5452245142301828e+35	15.521827429307798
121	оператор_s в_pr	55	293.26605632156134	1.7824956533444092	2.72696886228717	1.5102263474566692e+35	3.4294154601431868
491	определить_partcp в_pr	24	167.925961881876	2.9181153530518515	3.48913833428105	1.4936278471456896e+35	6.504080492442684
960	параметрический_a уравнение_s	15	169.73700062930584	5.579329785188266	3.696783784991192	1.448900376479823e+35	17.33183133628871
35	см также_adv	110	1681.8387542366982	8.20826914917118	10.410950915831517	1.434385952351389e+35	121.39634328823192
987	школа_s в_pr	14	113.59169986844063	3.615845783934958	3.077775543318371	1.427102612062629e+35	7.306738380657522
339	сводиться_v к_pr	30	425.20512733608484	7.322149671516114	5.402773165516058	1.4187923646850331e+35	46.3401749466848
74	только_part тогда_adv	71	828.3809919431806	6.106023938405595	8.160054212776977	1.3856080356253435e+35	45.918618860700185
239	унитарный_a пространство_s	38	543.1499347612262	7.499338721563343	6.090305044526592	1.3768388189211704e+35	55.545590748827884
576	делимость_s на_pr	21	215.0450344979763	5.044847380599476	4.280605502100461	1.3765843722111927e+35	16.67546644773338
937	производящий_a функция_s	15	204.5907752662897	6.707553849132423	3.7923758303290493	1.3732913888826315e+35	26.287326304730975
999	расположенный_a в_pr	14	111.979976400733	3.547133033850943	3.0453910631498067	1.3596825951374138e+35	7.059718475794256
7	линейный_a оператор_s	213	2231.6556441113353	5.189233429090783	13.724398421454456	1.3537713413426217e+35	56.20803054969094
296	положительный_a число_s	32	273.00321178883314	3.993147951827328	4.884133645328306	1.3525609073825667e+35	13.214897148695025
