	freq	ngram	freq_ref	ngram_ref	ref size	math size	e1	e2	g2
0	488	доказать_v что_conj	283	мочь_v быть_v	2332884	1500982	301.85121806552445	469.14878193447555	182.75426945305747
3	313	аналитический_a геометрия_s	175	один_a из_pr	2332884	1500982	191.05498627234232	296.9450137276577	123.95348739789085
2	316	в_pr точка_s	178	в_pr клетка_s	2332884	1500982	193.40402298880556	300.59597701119446	123.74910260534037
4	275	геометрия_s линейный_a	146	в_pr который_a	2332884	1500982	164.8240762718363	256.1759237281637	117.36154400346223
1	335	линейный_a алгебра_s	216	в_pr результат_s	2332884	1500982	215.7198717952062	335.2801282047938	104.95519666552809
6	236	в виде_pr	144	а также_conj	2332884	1500982	148.77232537600426	231.22767462399574	81.39394682478357
5	237	линейный_a пространство_s	145	химический_a реакция_s	2332884	1500982	149.55533761482536	232.44466238517464	81.37024897923072
8	211	система_s координата_s	133	таким образом_adv	2332884	1500982	134.67810507722493	209.32189492277507	68.82818484415706
7	213	линейный_a оператор_s	138	водный_a раствор_s	2332884	1500982	137.41864791309868	213.58135208690132	66.15189626926409
9	186	система_s линейный_a	133	в виде_pr	2332884	1500982	124.89045209196148	194.1095479080385	47.603645184976116
10	182	мочь_v быть_v	132	с помощью_pr	2332884	1500982	122.9329214949088	191.06707850509122	45.18871463151061
11	177	такой_a что_conj	127	тот_a же_part	2332884	1500982	119.01786030080342	184.98213969919658	44.97182539827247
15	166	на_pr плоскость_s	118	в_pr он	2332884	1500982	111.18773791259267	172.81226208740733	43.01586985165967
16	164	второй_a порядок_s	117	из_pr он	2332884	1500982	110.01321955436106	170.98678044563894	42.176731544111846
12	173	линейный_a уравнение_s	127	в_pr состав_s	2332884	1500982	117.45183582316128	182.54816417683872	41.83503636066918
14	167	для_pr любой_a	121	в_pr раствор_s	2332884	1500982	112.75376239023481	175.2462376097652	41.55384764717793
17	161	один_a из_pr	116	представлять_v себ	2332884	1500982	108.4471950767189	168.5528049232811	40.546536430272255
13	169	то есть_adv	125	живой_a система_s	2332884	1500982	115.10279910669804	178.89720089330197	40.19229951552438
18	154	следовать_v что_conj	111	приводить_v к_pr	2332884	1500982	103.74912164379245	161.25087835620755	38.75116136494077
19	151	в_pr сила_s	109	связанный_a с_pr	2332884	1500982	101.79159104673977	158.20840895326023	37.875165328297925
21	138	квадратичный_a функционал_s	105	что_conj в_pr	2332884	1500982	95.13598701676062	147.86401298323938	30.767338742159936
23	137	равный_a нуль_s	105	кдж_s моль_s	2332884	1500982	94.74448089735009	147.2555191026499	30.026589053357583
22	137	делиться_v на_pr	105	в_pr молекула_s	2332884	1500982	94.74448089735009	147.2555191026499	30.026589053357583
24	135	теорема_s доказать_partcp	104	вещество_s в_pr	2332884	1500982	93.56996253911848	145.43003746088152	29.229367301436554
20	138	иметь_v вид_s	108	ковалентный_a связь_s	2332884	1500982	96.31050537499225	149.68949462500777	28.761366591624835
25	132	комплексный_a число_s	103	в_pr тот_a	2332884	1500982	92.00393806147633	142.99606193852367	27.71007377098846
26	131	на_pr отрезок_s	102	в_pr водный_a	2332884	1500982	91.22092582265525	141.77907417734474	27.644574395412747
38	109	показать_v что_conj	80	естественный_a отбор_s	2332884	1500982	73.9946565685916	115.0053434314084	26.371076878962306
27	126	что_conj если_conj	99	скорость_s реакция_s	2332884	1500982	88.08887686737096	136.91112313262906	26.005779185887135
37	110	а_s т_s	82	элемент_s в_pr	2332884	1500982	75.16917492682322	116.83082507317678	25.705344823343687
36	110	м получить_v	83	степень_s окисление_s	2332884	1500982	75.56068104623375	117.43931895376625	25.004275953933472
39	104	в_pr который_a	78	стандартный_a молярный_a	2332884	1500982	71.25411373271784	110.74588626728216	23.97018356418969
35	110	см также_adv	85	в_pr популяция_s	2332884	1500982	76.34369328505483	118.65630671494517	23.643107433096183
40	102	ортонормированный_a базис_s	77	вид_s в_pr	2332884	1500982	70.07959537448622	108.92040462551378	23.160550681339195
41	101	что_conj в_pr	76	реакция_s в_pr	2332884	1500982	69.29658313566514	107.70341686433486	23.103941978891932
42	100	что_conj для_pr	75	химический_a элемент_s	2332884	1500982	68.51357089684407	106.48642910315593	23.04825342710545
33	112	в_pr случай_s	89	в_pr природа_s	2332884	1500982	78.69273000151804	122.30726999848196	22.474153055165587
43	99	в_pr пространство_s	75	например_adv в_pr	2332884	1500982	68.12206477743354	105.87793522256646	22.296285036719475
28	119	иметь_v место_s	98	в качестве_pr	2332884	1500982	84.95682791208665	132.04317208791335	21.761660334629305
34	110	таким образом_adv	88	в_pr вода_s	2332884	1500982	77.51821164328643	120.48178835671357	21.700367401661417
30	114	а_s а_s	93	состоять_v из_pr	2332884	1500982	81.04176671798128	125.95823328201872	21.378040578299654
29	115	дифференциальный_a уравнение_s	95	зависеть_v от_pr	2332884	1500982	82.21628507621288	127.78371492378712	20.85528701463523
44	96	скалярный_a произведение_s	74	в_pr один_a	2332884	1500982	66.55604029979139	103.44395970020861	20.75553812095201
32	113	собственный_a вектор_s	93	живой_a организм_s	2332884	1500982	80.65026059857074	125.34973940142926	20.699531977908663
31	113	что_conj при_pr	93	находиться_v в_pr	2332884	1500982	80.65026059857074	125.34973940142926	20.699531977908663
56	86	евклидов_a пространство_s	66	за счет_pr	2332884	1500982	59.50893015040171	92.49106984959829	18.789625297440836
58	85	ряд_s сходиться_v	65	предполагаться_v что_conj	2332884	1500982	58.72591791158064	91.27408208841936	18.728568080227085
57	85	линейно_adv независимый_a	65	среда_s обитание_s	2332884	1500982	58.72591791158064	91.27408208841936	18.728568080227085
45	93	квадратный_a уравнение_s	74	на_pr земля_s	2332884	1500982	65.38152194155977	101.61847805844023	18.599201537554748
51	88	заметить_v что_conj	69	из_pr который_a	2332884	1500982	61.4664607474544	95.53353925254561	18.25556390574485
52	88	в_pr линейный_a	69	человек_s в_pr	2332884	1500982	61.4664607474544	95.53353925254561	18.25556390574485
60	84	в_pr базис_s	65	в_pr реакция_s	2332884	1500982	58.334411792170094	90.6655882078299	17.99415747368954
59	84	система_s уравнение_s	65	многоклеточный_a организм_s	2332884	1500982	58.334411792170094	90.6655882078299	17.99415747368954
46	92	натуральный_a число_s	74	так как_conj	2332884	1500982	64.99001582214923	101.00998417785077	17.899273334906077
47	92	так как_conj	74	в_pr случай_s	2332884	1500982	64.99001582214923	101.00998417785077	17.899273334906077
62	82	число_s называться_v	63	в_pr наш_a	2332884	1500982	56.76838731452795	88.23161268547206	17.868645903430554
54	87	произведение_s вектор_s	69	год_s назад_adv	2332884	1500982	61.07495462804386	94.92504537195614	17.5428975550009
53	87	функция_s в_pr	69	разный_a вид_s	2332884	1500982	61.07495462804386	94.92504537195614	17.5428975550009
63	81	каждый_a из_pr	63	на_pr основа_s	2332884	1500982	56.376881195117406	87.6231188048826	17.1384991671162
48	90	собственный_a значение_s	73	в том	2332884	1500982	63.81549746391762	99.18450253608238	17.134187323855663
55	86	линейный_a комбинация_s	69	молярный_a энтальпия_s	2332884	1500982	60.68344850863332	94.31655149136668	16.84039961560542
61	82	решение_s система_s	65	так_adv называть_partcp	2332884	1500982	57.55139955334902	89.44860044665099	16.55669394616799
49	89	целый_a число_s	73	том числе_adv	2332884	1500982	63.42399134450709	98.57600865549291	16.451565058450555
