	freq	ngram	freq_ref	ngram_ref	ref size	math size	e1	e2	g2
1	274	аналитический_a геометрия_s линейный_a	73	в том числе_adv	2332884	1500982	135.85262343545654	211.14737656454346	229.38733808718098
0	275	геометрия_s линейный_a алгебра_s	87	в_pr водный_a раствор_s	2332884	1500982	141.7252152266146	220.2747847733854	202.94418577695467
2	146	система_s линейный_a уравнение_s	61	стандартный_a молярный_a энтальпия_s	2332884	1500982	81.04176671798128	125.95823328201872	83.4241190156054
3	109	а_s а_s т_s	53	один_a тот_a же_part	2332884	1500982	63.42399134450709	98.57600865549291	52.27142239455412
4	79	доказать_v что_conj если_conj	45	друг_s с_pr друг_s	2332884	1500982	48.54675880690666	75.45324119309335	30.416867596248196
5	77	в_pr линейный_a пространство_s	44	в_pr наш_a время_s	2332884	1500982	47.37224044867504	73.62775955132496	29.503168434751622
6	73	ответ_s указание_s решение_s	44	друг_s от_pr друг_s	2332884	1500982	45.80621597103289	71.1937840289671	25.694790104724405
8	70	а_s т_s о_s	42	в_pr зависимость_s от_pr	2332884	1500982	43.84868537398021	68.1513146260198	24.82396081694855
11	59	о_pr а_s а_s	32	красный_a книга_s россия_s	2332884	1500982	35.62705686635892	55.37294313364108	24.42825274933533
7	70	тогда_adv только_part тогда_adv	43	в соответствии с_pr	2332884	1500982	44.240191493390746	68.75980850660926	23.87055981821399
12	57	линия_s второй_a порядок_s	32	в настоящее время_adv	2332884	1500982	34.84404462753784	54.15595537246216	22.434818743364254
10	61	функция_s в_pr точка_s	37	в_pr красный_a книга_s	2332884	1500982	38.36759970223268	59.63240029776732	21.247778684258826
9	64	только_part тогда_adv когда_conj	40	относительный_a атомный_a масса_s	2332884	1500982	40.716636418695906	63.283363581304094	21.188086853522208
14	47	зависимость_s в_pr линейный_a	30	в_pr свой_a очередь_s	2332884	1500982	30.14597119461139	46.85402880538861	14.994676385848262
13	47	число_s доказать_v что_conj	31	как_adv в думать_v	2332884	1500982	30.53747731402193	47.46252268597807	14.123035012398798
15	45	доказать_v что_conj при_pr	30	в отличие от_pr	2332884	1500982	29.36295895579032	45.63704104420968	13.25222730747155
16	42	элемент_s линейный_a пространство_s	27	входить_v в_pr состав_s	2332884	1500982	27.01392223932709	41.986077760672906	13.229583087574476
32	34	а_s т_s о_pr	20	в_pr окружающий_a среда_s	2332884	1500982	21.14133044816903	32.85866955183097	12.449547556985095
31	34	уравнение_s с_pr неизвестный_a	20	в_pr тот_a же_part	2332884	1500982	21.14133044816903	32.85866955183097	12.449547556985095
28	35	линейный_a оператор_s в_pr	21	один_a из_pr он	2332884	1500982	21.924342686990105	34.0756573130099	12.411980408474275
17	41	доказать_v что_conj для_pr	27	в_pr периодический_a система_s	2332884	1500982	26.622416119916554	41.37758388008345	12.356386086005696
18	41	с_pr другой_a сторона_s	27	степень_s окисление_s элемент_s	2332884	1500982	26.622416119916554	41.37758388008345	12.356386086005696
33	33	непрерывный_a в_pr точка_s	20	относительный_a молекулярный_a масса_s	2332884	1500982	20.74982432875849	32.25017567124151	11.510356866300189
29	34	хотя бы_adv один_a	21	борьба_s за_pr существование_s	2332884	1500982	21.532836567579565	33.467163432420435	11.487362498888864
30	34	число_s делиться_v на_pr	21	закон_s действующий_a масса_s	2332884	1500982	21.532836567579565	33.467163432420435	11.487362498888864
19	39	поверхность_s второй_a порядок_s	26	в первую очередь_adv	2332884	1500982	25.447897761684942	39.55210223831506	11.48526366647534
20	38	линейный_a уравнение_s с_pr	25	биологически_adv активный_a вещество_s	2332884	1500982	24.664885522863866	38.33511447713613	11.47309912266077
22	37	иметь_v место_s равенство_s	24	поток_s вещество_s энергия_s	2332884	1500982	23.88187328404279	37.11812671595721	11.466588116308408
44	29	функция_s непрерывный_a на_pr	17	в_pr сочетание_s с_pr	2332884	1500982	18.00928149288473	27.99071850711527	10.677269461117042
43	29	решение_s система_s линейный_a	17	он мочь_v быть_v	2332884	1500982	18.00928149288473	27.99071850711527	10.677269461117042
41	30	линейный_a зависимость_s в_pr	18	в связи с_pr	2332884	1500982	18.792293731705804	29.207706268294196	10.638840350120809
42	30	в_pr евклидов_a пространство_s	18	закон_s действовать_partcp масса_s	2332884	1500982	18.792293731705804	29.207706268294196	10.638840350120809
21	37	доказать_v что_conj число_s	25	млн год_s назад_adv	2332884	1500982	24.27337940345333	37.726620596546674	10.619280032879463
35	31	в_pr координатный_a форма_s	19	около_pr тыс вид_s	2332884	1500982	19.575305970526877	30.424694029473123	10.611543669176449
36	31	линейный_a алгебра_s аналитический_a	19	тыс год_s назад_adv	2332884	1500982	19.575305970526877	30.424694029473123	10.611543669176449
37	31	алгебра_s аналитический_a геометрия_s	19	протекание_s химический_a реакция_s	2332884	1500982	19.575305970526877	30.424694029473123	10.611543669176449
25	36	ортонормированный_a система_s координата_s	24	жизнь_s на_pr земля_s	2332884	1500982	23.490367164632254	36.509632835367746	10.601781845977243
24	36	в виде_pr где_adv	24	по отношению к_pr	2332884	1500982	23.490367164632254	36.509632835367746	10.601781845977243
23	36	число_s такой_a что_conj	24	в_pr сравнение_s с_pr	2332884	1500982	23.490367164632254	36.509632835367746	10.601781845977243
34	32	матрица_s линейный_a оператор_s	20	образование_s ковалентный_a связь_s	2332884	1500982	20.358318209347953	31.641681790652047	10.594043426761104
27	35	о_s а_s а_s	23	связь_s в_pr молекула_s	2332884	1500982	22.707354925811178	35.29264507418882	10.589845788403075
48	27	непрерывный_a на_pr отрезок_s	16	который_a мочь_v быть_v	2332884	1500982	16.834763134653116	26.165236865346884	9.770132648956828
26	35	что_conj для_pr любой_a	24	по сравнению с_pr	2332884	1500982	23.098861045221717	35.90113895477828	9.759203401183107
45	28	тогда_adv в_pr сила_s	17	в_pr тот_a случай_s	2332884	1500982	17.617775373474192	27.382224626525808	9.737440023390565
46	28	плоскость_s в_pr пространство_s	17	тем не менее_adv	2332884	1500982	17.617775373474192	27.382224626525808	9.737440023390565
40	30	в_pr сила_s теорема_s	19	молярный_a энтальпия_s образование_s	2332884	1500982	19.18379985111634	29.81620014888366	9.704582952809538
39	30	декартовый_a система_s координата_s	19	тот_a пора_s пока_conj	2332884	1500982	19.18379985111634	29.81620014888366	9.704582952809538
38	30	существовать_v такой_a что_conj	19	до_pr тот_a пора_s	2332884	1500982	19.18379985111634	29.81620014888366	9.704582952809538
59	25	интегрировать_partcp на_pr отрезок_s	15	с_pr один_a сторона_s	2332884	1500982	15.660244776421502	24.339755223578496	8.86570029176735
49	26	скалярный_a произведение_s вектор_s	16	так же как_conj	2332884	1500982	16.443257015242576	25.556742984757424	8.839415609693196
50	26	второй_a порядок_s на_pr	16	в_pr тот_a число_s	2332884	1500982	16.443257015242576	25.556742984757424	8.839415609693196
51	26	порядок_s на_pr плоскость_s	16	в_pr северный_a америка_s	2332884	1500982	16.443257015242576	25.556742984757424	8.839415609693196
47	27	операция_s с_pr он	17	заключаться_v в_pr что_conj	2332884	1500982	17.226269254063652	26.773730745936348	8.824606246344361
103	20	решение_s неоднородный_a система_s	11	вещество_s поток_s энергия_s	2332884	1500982	12.136689701726665	18.863310298273337	8.114850894859655
102	20	решение_s однородный_a система_s	11	круговорот_s вещество_s поток_s	2332884	1500982	12.136689701726665	18.863310298273337	8.114850894859655
106	20	прил_s элемент_s тензорный_a	11	включать_v в_pr себ	2332884	1500982	12.136689701726665	18.863310298273337	8.114850894859655
104	20	необходимый_a достаточно_adv чтобы_conj	11	мочь_v быть_v очень_adv	2332884	1500982	12.136689701726665	18.863310298273337	8.114850894859655
105	20	на_pr плоскость_s в_pr	11	особь_s в_pr популяция_s	2332884	1500982	12.136689701726665	18.863310298273337	8.114850894859655
86	21	прямой_a на_pr плоскость_s	12	тот_a же_part время_s	2332884	1500982	12.91970194054774	20.08029805945226	8.046318664023168
92	21	элемент_s тензорный_a исчисление_s	12	в_pr такой_a случай_s	2332884	1500982	12.91970194054774	20.08029805945226	8.046318664023168
85	21	базис_s к_pr базис_s	12	в_pr тот_a иной_a	2332884	1500982	12.91970194054774	20.08029805945226	8.046318664023168
88	21	в_pr окрестность_s точка_s	12	в_pr круговорот_s вещество_s	2332884	1500982	12.91970194054774	20.08029805945226	8.046318664023168
89	21	функция_s определить_partcp в_pr	12	в_pr состав_s который_a	2332884	1500982	12.91970194054774	20.08029805945226	8.046318664023168
90	21	л_sв_pr вектор_s линейный_a	12	принцип_s ле_s шателье_s	2332884	1500982	12.91970194054774	20.08029805945226	8.046318664023168
91	21	доказать_partcp аналитический_a геометрия_s	12	в_pr тот_a время_s	2332884	1500982	12.91970194054774	20.08029805945226	8.046318664023168
87	21	точка_s в_pr который_a	12	последовательность_s нуклеотид_s в_pr	2332884	1500982	12.91970194054774	20.08029805945226	8.046318664023168
82	22	л_sв_pr евклидов_a пространство_s	13	в_pr живой_a организм_s	2332884	1500982	13.702714179368815	21.297285820631185	7.997347791322136
80	22	теорема_s доказать_partcp теорема_s	13	отсюда_adv следовать_v что_conj	2332884	1500982	13.702714179368815	21.297285820631185	7.997347791322136
79	22	линейный_a операция_s с_pr	13	в_pr кристаллический_a решетка_s	2332884	1500982	13.702714179368815	21.297285820631185	7.997347791322136
78	22	вектор_s линейный_a операция_s	13	входить_partcp в_pr состав_s	2332884	1500982	13.702714179368815	21.297285820631185	7.997347791322136
77	22	в качестве_pr пример_s	13	в_pr популяция_s человек_s	2332884	1500982	13.702714179368815	21.297285820631185	7.997347791322136
76	22	если_conj для_pr любой_a	13	особь_s один_a вид_s	2332884	1500982	13.702714179368815	21.297285820631185	7.997347791322136
75	22	π_π π_π π_π	13	каждый_a из_pr который_a	2332884	1500982	13.702714179368815	21.297285820631185	7.997347791322136
