c-value	ngram	nc-value
6197.130841121495	<x> <x>	4957.704672897196
1808.9931740614334	в_pr <x>	1447.1945392491468
896.2787878787879	<x> в_pr	717.0230303030303
526.2758620689655	на_pr <x>	421.0206896551724
493.6170212765957	для_pr <x>	394.8936170212766
482.0464135021097	доказать_v что_conj	385.6485281475114
473.8730158730159	из_pr <x>	379.09841269841274
440.0975609756098	что_conj <x>	352.07804878048785
414.1463414634146	с_pr <x>	331.3170731707317
376.6585365853659	<x> на_pr	301.3268292682927
371.3636363636364	называться_v <x>	297.0909090909091
317.6181818181818	<x> уравнение_s	254.09454545454548
314.85714285714283	по_pr <x>	251.88571428571427
307.82758620689657	при_pr <x>	246.26206896551727
299.1578947368421	иметь_v <x>	239.32631578947368
294.3783783783784	<x> для_pr	235.50270270270272
280.25	если_conj <x>	224.20000000000002
264.9634146341463	в_pr точка_s	212.02365910778545
264.10714285714283	<x> если_conj	211.28571428571428
253.13333333333333	к_pr <x>	202.50666666666666
251.0	<x> с_pr	200.8
250.17777777777778	<x> иметь_v	200.14222222222224
249.66666666666666	<x> называться_v	199.73333333333335
241.69230769230768	являться_v <x>	193.35384615384615
236.3125	<x> число_s	189.05
229.34117647058824	в виде_pr	183.54429168388668
228.22727272727272	<x> быть_v	182.5818181818182
216.21621621621622	<x> функция_s	172.972972972973
201.0	быть_v <x>	160.8
196.65	<x> по_pr	157.32000000000002
191.77777777777777	<x> при_pr	153.42222222222222
181.4255319148936	<x> доказать_v	145.1404255319149
176.65	мочь_v быть_v	141.40352849336458
175.92307692307693	от_pr <x>	140.73846153846156
173.05882352941177	<x> из_pr	138.44705882352943
168.95652173913044	<x> можно_adv	135.16521739130437
167.36507936507937	такой_a что_conj	133.90408534998699
162.33333333333334	найти_v <x>	129.86666666666667
161.33333333333334	то есть_adv	129.12849336455895
150.36	<x> определение_s	120.28800000000001
148.6875	<x> вектор_s	118.95
147.45333333333332	один_a из_pr	118.04619516003122
146.02439024390245	следовать_v что_conj	116.81951219512196
145.66666666666666	<x> который_a	116.53333333333333
145.33333333333334	<x> задача_s	116.26666666666668
140.75	где_adv <x>	112.60000000000001
138.75	<x> теорема_s	111.0
137.0	пусть_part <x>	109.60000000000001
136.125	<x> <x>dv	108.9
133.95454545454547	<x> тогда_adv	107.16363636363639
133.91304347826087	<x> точка_s	107.1304347826087
133.26666666666668	на_pr плоскость_s	106.66282591725216
132.9784946236559	делиться_v на_pr	106.4213593210949
131.20689655172413	иметь_v вид_s	105.01173113677352
129.52	<x> координата_s	103.61600000000001
125.90322580645162	теорема_s доказать_partcp	100.73631991135959
123.9375	<x> являться_v	99.15
122.6	<x> к_pr	98.08
122.0	<x> матрица_s	97.60000000000001
120.61904761904762	<x> порядок_s	96.49523809523811
120.13793103448276	что_conj если_conj	96.15421680260573
118.57142857142857	<x> от_pr	94.85714285714286
117.9090909090909	<x> где_adv	94.32727272727273
117.38235294117646	лекция_s <x>	93.90588235294118
116.18518518518519	на_pr отрезок_s	92.98343308179375
115.94736842105263	<x> пусть_part	92.7578947368421
115.54545454545455	как_conj <x>	92.43636363636364
115.35714285714286	для_pr любой_a	92.34597970335676
113.66666666666667	о_pr <x>	90.93333333333334
112.25	существовать_v <x>	89.80000000000001
111.92307692307692	<x> оператор_s	89.53846153846155
111.52631578947368	определение_s <x>	89.22105263157896
109.0	л_sв_pr <x>	87.2
108.25396825396825	что_conj при_pr	86.62956023939631
107.46153846153847	<x> элемент_s	85.96923076923078
104.22857142857143	см также_adv	83.39409836065575
104.04347826086956	таким образом_adv	83.26085598886739
103.56363636363636	а_s <x>	82.8509090909091
103.14814814814815	м получить_v	82.55895567698848
103.1875	получить_v <x>	82.55000000000001
101.96153846153847	показать_v что_conj	81.56923076923078
99.58333333333333	у_pr <x>	79.66666666666667
95.11111111111111	<x> равный_a	76.08888888888889
94.21428571428571	<x> лекция_s	75.37142857142857
93.22222222222223	<x> мочь_v	74.57777777777778
91.75	что_conj для_pr	73.43590944574552
91.21052631578948	что_conj в_pr	73.00136406590246
91.2	<x> множество_s	72.96000000000001
90.0	он <x>	72.0
88.18181818181819	число_s <x>	70.54545454545455
88.0	<x> что_conj	70.4
86.88888888888889	<x> ответ_s	69.5111111111111
85.55555555555556	любой_a <x>	68.44444444444444
84.83333333333333	так как_conj	67.90085870413739
84.25	весь_a <x>	67.4
84.2	тогда_adv <x>	67.36
82.75	рассмотреть_v <x>	66.2
82.5	<x> плоскость_s	66.0
80.8	через_pr <x>	64.64
80.44444444444444	<x> у_pr	64.35555555555555
78.55555555555556	заметить_v что_conj	62.84444444444445
77.25	<x> о_pr	61.800000000000004
75.83333333333333	<x> система_s	60.666666666666664
74.72727272727272	<x> поскольку_conj	59.78181818181818
73.95	в_pr который_a	59.209024199843874
74.0	<x> решение_s	59.2
72.86666666666666	если_conj в_pr	58.33548790007806
72.0	<x> найти_v	57.6
71.76470588235294	глава_s <x>	57.411764705882355
70.44	в_pr пространство_s	56.3968087431694
70.0	<x> ряд_s	56.0
69.41666666666667	<x> вид_s	55.53333333333334
69.33333333333333	теорема_s <x>	55.46666666666667
68.67647058823529	<x> о_s	54.94117647058823
68.36363636363636	в_pr базис_s	54.71901213540558
67.53846153846153	<x> прямой_a	54.03076923076923
67.40384615384616	из_pr он	53.96320182549692
67.42857142857143	<x> в	53.94285714285715
67.36842105263158	ряд_s сходиться_v	53.91799991782735
67.19354838709677	каждый_a из_pr	53.81198156682027
66.4	<x>dv <x>	53.120000000000005
65.41176470588235	<x> следовать_v	52.32941176470588
65.0	<x> доказательство_s	52.0
64.55555555555556	<x> существовать_v	51.644444444444446
64.53623188405797	только_part тогда_adv	51.64334928554458
63.578947368421055	прил_s <x>	50.863157894736844
62.18181818181818	точка_s <x>	49.74545454545455
61.36363636363636	уравнение_s <x>	49.09090909090909
60.86440677966102	тогда_adv когда_conj	48.69371121607855
60.333333333333336	<x> пространство_s	48.26666666666667
60.2	при помощи_pr	48.21011709601874
60.21739130434783	пусть_part функция_s	48.18546651732682
60.111111111111114	матрица_s <x>	48.088888888888896
59.833333333333336	поскольку_conj <x>	47.866666666666674
59.25	<x> рассмотреть_v	47.400000000000006
58.714285714285715	<x> о	46.971428571428575
58.666666666666664	линейный_a <x>	46.93333333333334
58.36666666666667	непрерывный_a на_pr	46.71815768930523
58.125	ответ_s указание_s	46.5
57.666666666666664	означать_v что_conj	46.13333333333333
57.36363636363636	в качестве_pr	45.93009722517919
56.61538461538461	тогда_adv только_part	45.314477871854926
56.05555555555556	плоскость_s <x>	44.84444444444445
56.0	для_pr который_a	44.83356752537081
56.0	некоторый_a <x>	44.800000000000004
55.85714285714286	указание_s решение_s	44.68571428571429
55.857142857142854	пусть_conj <x>	44.68571428571428
55.2	<x> например_adv	44.160000000000004
54.95652173913044	что_conj число_s	43.979581169602554
54.59375	если_conj он	43.703571428571436
53.886792452830186	о_pr а_s	43.12036292401278
53.77777777777778	леиций_s <x>	43.022222222222226
