	freq	pmi	quadgram	t-score	z-score
787	3	43.255364676081385	печать_s формат_s бумага_s офсетный_a	2.297547750700463e-05	2.297547750700463e-05
402	5	42.600012847468825	екатеринбург_s издво_s урал унт_s	3.829246251167162e-05	3.829246251167162e-05
788	3	40.93343658119402	москва_s большой_a власьевский_s переть	2.2975477506993072e-05	2.2975477506993072e-05
104	9	39.459835189420566	матем кружок_s вып_sк_pr журнал_s	6.892643252090219e-05	6.892643252090219e-05
911	3	37.34847408047286	двухчашечный_a весы_s без_pr гиря_s	2.297547750683414e-05	2.297547750683414e-05
629	4	35.558397149847096	площадь_s криволинейный_a тра_s пеция_s	3.0633970008543875e-05	3.0633970008543875e-05
438	5	34.639183444749506	центральный_a симметрия_s относительно_adv начало_s	3.829246250978934e-05	3.829246250978934e-05
785	3	34.42247466191664	подписать_partcp в_pr печать_s формат_s	2.2975477505689817e-05	2.2975477505689817e-05
999	3	33.85204825435336	между_pr средний_a арифметич_s ские_s	2.2975477505050782e-05	2.2975477505050782e-05
224	6	33.79203371631369	τ_τ τ_τ τ_τ τ_τ	4.5950955009935335e-05	4.5950955009935335e-05
403	5	33.78950678828465	кафедра_s высший_a математика_s мфти_s	3.8292462508273486e-05	3.8292462508273486e-05
85	10	33.752476057339685	математика_s арифметика_s алгебра_sк_pr журнал_s	7.658492501636988e-05	7.658492501636988e-05
827	3	33.689809205184055	дирихля_s размещение_s перестановка_s сочетание_s	2.2975477504817885e-05	2.2975477504817885e-05
786	3	33.61511973985903	в_pr печать_s формат_s бумага_s	2.297547750470154e-05	2.297547750470154e-05
628	4	33.42699014303913	предметный_a ка_part за_pr тель_s	3.0633970005840465e-05	3.0633970005840465e-05
940	3	33.38650354708836	удовля_s творять_v начальный_a условие_s	2.297547750430558e-05	2.297547750430558e-05
473	4	33.3265502419181	до_pr тот_a пора_s пока_conj	3.0633970005587907e-05	3.0633970005587907e-05
826	3	33.20438237801382	принцип_s дирихля_s размещение_s перестановка_s	2.2975477503942033e-05	2.2975477503942033e-05
436	5	33.152654061132104	обладать_v осевой_a симметрия_s относительно_pr	3.829246250638354e-05	3.829246250638354e-05
244	6	32.9644242736777	наибольший_a наименьший_a зна_s чение_s	4.5950955006774615e-05	4.5950955006774615e-05
351	5	32.70292612082785	лекция_s фазовый_a траектория_s особый_a	3.829246250444648e-05	3.829246250444648e-05
909	3	32.55666000931104	взвешивание_s на_pr двухчашечный_a весы_s	2.2975477502204843e-05	2.2975477502204843e-05
771	4	32.342625004776174	ось_s плоскостной_a симметрия_s относительно_pr	3.063397000191568e-05	3.063397000191568e-05
